Rank,Player,Appearances,Matches,Goals,Penalty Goals,Own Goals,Minutes per Goal,Country
1,Cristiano Ronaldo,19,183,140,19,0,114,Portugal
2,Lionel Messi,19,161,129,18,0,104,Argentina
3,Robert Lewandowski,12,111,91,16,0,104,Poland
4,Karim Benzema,19,146,86,3,0,123,France
5,Raúl González,15,142,71,1,0,169,Spain
6,Ruud van Nistelrooy,11,73,56,10,0,109,Netherlands
7,Thomas Müller,15,138,53,8,0,182,Germany
8,Thierry Henry,13,112,50,3,0,172,France
9,Alfredo Di Stéfano,9,58,49,3,0,107,Argentina
10,Zlatan Ibrahimovic,16,124,48,5,0,208,Sweden
10,Andriy Shevchenko,12,100,48,5,0,173,Ukraine
12,Eusébio,11,64,46,2,0,123,Portugal
12,Pippo Inzaghi,11,81,46,1,0,121,Italy
14,Didier Drogba,12,92,44,2,0,166,Ivory Coast
15,Mohamed Salah,9,77,43,5,0,142,Egypt
15,Neymar,10,80,43,3,0,159,Brazil
17,Alessandro Del Piero,12,89,42,6,0,159,Italy
18,Sergio Agüero,13,79,41,11,0,126,Argentina
19,Kylian Mbappé,7,59,40,3,0,116,France
20,Edinson Cavani,10,70,35,4,0,148,Uruguay
