Rank,Player,Appearances,Matches,Goals,Penalty Goals,Own Goals,Minutes per Goal,Country
1,Jimmy Greaves,14,450,312,23,0,129,England
2,Alan Shearer,19,558,283,58,0,168,England
3,Nat Lofthouse,14,444,253,2,0,158,England
4,Ian Rush,17,514,233,2,0,188,Wales
5,David Herd,16,406,218,0,0,165,Scotland
6,Tony Cottee,19,548,215,9,0,205,England
7,Ronnie Allen,12,410,210,18,0,176,England
8,Geoff Hurst,16,512,208,15,0,219,England
8,Wayne Rooney,16,491,208,23,1,183,England
10,Harry Kane,12,300,198,30,3,127,England
10,Stan Mortensen,10,310,198,5,0,141,England
12,Bobby Charlton,17,598,197,8,0,272,England
13,Bobby Smith,14,343,196,1,0,158,England
14,Peter Harris,13,467,194,3,0,217,England
14,Denis Law,14,369,194,5,0,168,Scotland
16,Ray Charnley,10,355,189,10,0,169,England
17,Tommy Thompson,13,350,187,0,0,168,England
17,Andy Cole,16,415,187,1,0,169,England
19,Dennis Viollet,14,386,186,0,0,186,England
20,Kun Agüero,10,275,184,27,0,108,Argentina
