Rank,Player,Appearances,Matches,Goals,Penalty Goals,Own Goals,Minutes per Goal,Country
1,Miroslav Klose,4,24,16,0,0,112,Germany
2,Ronaldo,4,19,15,1,0,108,Brazil
3,Gerd Müller,2,13,14,1,0,88,Germany
4,Lionel Messi,5,26,13,4,0,178,Argentina
4,Just Fontaine,1,6,13,0,0,42,France
6,Kylian Mbappé,2,14,12,2,0,94,France
6,Pelé,4,14,12,0,0,105,Brazil
8,Sandor Kocsis,1,5,11,0,0,44,Hungary
8,Jürgen Klinsmann,3,17,11,0,0,139,Germany
10,Thomas Muller,4,19,10,1,0,157,Germany
10,Helmut Rahn,2,10,10,0,0,90,Federal Republic of Germany
10,Gabriel Batistuta,3,12,10,4,0,99,Argentina
10,Gary Lineker,2,12,10,2,0,116,England
10,Grzegorz Lato,3,20,10,0,0,180,Poland
10,Teófilo Cubillas,3,13,10,2,0,110,Peru
16,Vavá,2,10,9,0,0,100,Brazil
16,Paolo Rossi,3,14,9,0,0,134,Italy
16,Ademir Menezes,1,6,9,0,0,60,Brazil
16,Karl-Heinz Rummenigge,3,19,9,0,0,141,Germany
16,Jairzinho,3,16,9,0,0,159,Brazil
